Time,Vm,dVm/dt,Cai,INa,INaL,ICaL,IKs,IKr,IK1,Ito,Tension
1068.001000,27.888503,-0.327783,0.000229,-0.000000,-0.358731,-0.729982,0.042339,0.954713,0.000292,0.028432,1.009938
1069.000000,27.560149,-0.329562,0.000230,-0.000000,-0.359518,-0.728669,0.042949,0.961772,0.000301,0.027137,1.052608
1069.001000,27.559820,-0.329564,0.000230,-0.000000,-0.359519,-0.728668,0.042950,0.961779,0.000301,0.027135,1.052651
1070.000000,27.229739,-0.331240,0.000230,-0.000000,-0.360300,-0.727488,0.043552,0.968802,0.000311,0.025900,1.095555
1070.001000,27.229408,-0.331242,0.000230,-0.000000,-0.360300,-0.727487,0.043553,0.968809,0.000311,0.025899,1.095598
1071.000000,26.897700,-0.332819,0.000230,-0.000000,-0.361074,-0.726439,0.044148,0.975795,0.000321,0.024720,1.138680
1071.001000,26.897368,-0.332820,0.000230,-0.000000,-0.361075,-0.726438,0.044148,0.975802,0.000321,0.024719,1.138723
1072.000000,26.564132,-0.334300,0.000230,-0.000000,-0.361840,-0.725519,0.044736,0.982754,0.000332,0.023595,1.181930
1072.001000,26.563798,-0.334301,0.000230,-0.000000,-0.361841,-0.725518,0.044736,0.982761,0.000332,0.023594,1.181974
1073.000000,26.229130,-0.335688,0.000230,-0.000000,-0.362598,-0.724726,0.045316,0.989679,0.000343,0.022522,1.225254
1073.001000,26.228794,-0.335689,0.000230,-0.000000,-0.362598,-0.724725,0.045317,0.989686,0.000343,0.022521,1.225298
1074.000000,25.892786,-0.336985,0.000230,-0.000000,-0.363346,-0.724058,0.045889,0.996572,0.000354,0.021498,1.268603
1074.001000,25.892449,-0.336986,0.000230,-0.000000,-0.363347,-0.724057,0.045890,0.996578,0.000354,0.021497,1.268646
1075.000000,25.555188,-0.338195,0.000230,-0.000000,-0.364085,-0.723511,0.046455,1.003431,0.000366,0.020522,1.311930
1075.001000,25.554850,-0.338196,0.000230,-0.000000,-0.364086,-0.723510,0.046455,1.003438,0.000366,0.020521,1.311973
1076.000000,25.216422,-0.339322,0.000230,-0.000000,-0.364814,-0.723082,0.047013,1.010260,0.000378,0.019591,1.355190
1076.001000,25.216083,-0.339323,0.000230,-0.000000,-0.364815,-0.723082,0.047013,1.010266,0.000378,0.019590,1.355233
1077.000000,24.876570,-0.340370,0.000231,-0.000000,-0.365532,-0.722768,0.047564,1.017057,0.000391,0.018704,1.398341
1077.001000,24.876229,-0.340371,0.000231,-0.000000,-0.365533,-0.722768,0.047564,1.017064,0.000391,0.018703,1.398384
1078.000000,24.535707,-0.341343,0.000231,-0.000000,-0.366240,-0.722565,0.048107,1.023824,0.000404,0.017857,1.441343
1078.001000,24.535365,-0.341344,0.000231,-0.000000,-0.366240,-0.722564,0.048107,1.023830,0.000404,0.017856,1.441386
1079.000000,24.193906,-0.342246,0.000231,-0.000000,-0.366936,-0.722467,0.048643,1.030560,0.000417,0.017050,1.484159
1079.001000,24.193564,-0.342247,0.000231,-0.000000,-0.366937,-0.722467,0.048643,1.030567,0.000417,0.017050,1.484201
1080.000000,23.851236,-0.343083,0.000231,-0.000000,-0.367621,-0.722471,0.049172,1.037268,0.000431,0.016281,1.526751
1080.001000,23.850893,-0.343084,0.000231,-0.000000,-0.367621,-0.722471,0.049172,1.037275,0.000431,0.016280,1.526794
1081.000000,23.507760,-0.343860,0.000231,-0.000000,-0.368294,-0.722571,0.049693,1.043946,0.000446,0.015548,1.569087
1081.001000,23.507416,-0.343861,0.000231,-0.000000,-0.368294,-0.722571,0.049694,1.043953,0.000446,0.015547,1.569129
1082.000000,23.163534,-0.344582,0.000231,-0.000000,-0.368955,-0.722761,0.050207,1.050596,0.000461,0.014849,1.611134
1082.001000,23.163189,-0.344583,0.000231,-0.000000,-0.368955,-0.722761,0.050208,1.050603,0.000461,0.014848,1.611176
1083.000000,22.818611,-0.345255,0.000231,-0.000000,-0.369603,-0.723036,0.050714,1.057218,0.000476,0.014182,1.652863
1083.001000,22.818266,-0.345256,0.000231,-0.000000,-0.369604,-0.723036,0.050715,1.057224,0.000476,0.014182,1.652905
1084.000000,22.473038,-0.345885,0.000231,-0.000000,-0.370240,-0.723390,0.051214,1.063812,0.000492,0.013547,1.694246
1084.001000,22.472692,-0.345886,0.000231,-0.000000,-0.370240,-0.723390,0.051214,1.063818,0.000492,0.013547,1.694287
1085.000000,22.126853,-0.346478,0.000231,-0.000000,-0.370863,-0.723815,0.051707,1.070379,0.000509,0.012942,1.735256
1085.001000,22.126506,-0.346479,0.000231,-0.000000,-0.370864,-0.723816,0.051707,1.070385,0.000509,0.012941,1.735296
1086.000000,21.780090,-0.347042,0.000231,-0.000000,-0.371475,-0.724306,0.052192,1.076918,0.000526,0.012365,1.775869
1086.001000,21.779743,-0.347042,0.000231,-0.000000,-0.371475,-0.724306,0.052193,1.076925,0.000526,0.012365,1.775909
1087.000000,21.432776,-0.347582,0.000230,-0.000000,-0.372073,-0.724854,0.052670,1.083432,0.000544,0.011815,1.816062
1087.001000,21.432428,-0.347583,0.000230,-0.000000,-0.372074,-0.724855,0.052671,1.083438,0.000544,0.011815,1.816102
1088.000000,21.084930,-0.348107,0.000230,-0.000000,-0.372660,-0.725453,0.053142,1.089920,0.000563,0.011291,1.855815
1088.001000,21.084582,-0.348107,0.000230,-0.000000,-0.372660,-0.725453,0.053142,1.089926,0.000563,0.011291,1.855855
1089.000000,20.736564,-0.348623,0.000230,-0.000000,-0.373234,-0.726094,0.053606,1.096382,0.000582,0.010792,1.895108
1089.001000,20.736216,-0.348624,0.000230,-0.000000,-0.373234,-0.726094,0.053606,1.096388,0.000582,0.010791,1.895147
1090.000000,20.387683,-0.349139,0.000230,-0.000000,-0.373795,-0.726769,0.054063,1.102820,0.000602,0.010316,1.933923
1090.001000,20.387334,-0.349139,0.000230,-0.000000,-0.373796,-0.726770,0.054064,1.102826,0.000602,0.010315,1.933962
1091.000000,20.038284,-0.349662,0.000230,-0.000000,-0.374345,-0.727471,0.054513,1.109233,0.000622,0.009862,1.972244
1091.001000,20.037934,-0.349662,0.000230,-0.000000,-0.374345,-0.727472,0.054514,1.109240,0.000622,0.009862,1.972282
1092.000000,19.688355,-0.350200,0.000230,-0.000000,-0.374882,-0.728191,0.054956,1.115624,0.000643,0.009430,2.010054
1092.001000,19.688005,-0.350200,0.000230,-0.000000,-0.374883,-0.728191,0.054957,1.115630,0.000643,0.009430,2.010092
1093.000000,19.337876,-0.350761,0.000230,-0.000000,-0.375408,-0.728919,0.055392,1.121991,0.000665,0.009018,2.047342
1093.001000,19.337526,-0.350762,0.000230,-0.000000,-0.375409,-0.728920,0.055393,1.121998,0.000665,0.009018,2.047379
1094.000000,18.986821,-0.351355,0.000230,-0.000000,-0.375923,-0.729648,0.055821,1.128337,0.000688,0.008625,2.084094
1094.001000,18.986470,-0.351356,0.000230,-0.000000,-0.375924,-0.729649,0.055822,1.128344,0.000688,0.008625,2.084130
1095.000000,18.635152,-0.351989,0.000230,-0.000000,-0.376427,-0.730369,0.056243,1.134663,0.000712,0.008251,2.120298
1095.001000,18.634800,-0.351990,0.000230,-0.000000,-0.376428,-0.730369,0.056244,1.134669,0.000712,0.008251,2.120334
1096.000000,18.282825,-0.352673,0.000230,-0.000000,-0.376921,-0.731072,0.056658,1.140968,0.000736,0.007895,2.155945
1096.001000,18.282473,-0.352673,0.000230,-0.000000,-0.376921,-0.731072,0.056658,1.140974,0.000736,0.007894,2.155981
1097.000000,17.929787,-0.353414,0.000230,-0.000000,-0.377404,-0.731748,0.057066,1.147255,0.000762,0.007555,2.191026
1097.001000,17.929433,-0.353415,0.000230,-0.000000,-0.377405,-0.731749,0.057066,1.147261,0.000762,0.007554,2.191061
1098.000000,17.575974,-0.354222,0.000229,-0.000000,-0.377879,-0.732389,0.057466,1.153524,0.000788,0.007231,2.225533
1098.001000,17.575620,-0.354223,0.000229,-0.000000,-0.377879,-0.732389,0.057466,1.153531,0.000788,0.007230,2.225567
1099.000000,17.221316,-0.355106,0.000229,-0.000000,-0.378344,-0.732984,0.057859,1.159777,0.000815,0.006922,2.259459
